TIME(MS),COMMAND,VALUE
 035850 ,STAR_POINT4,0,0,255
 036100 ,6      ,0  
 036100 ,7      ,0
 036100 ,8      ,0 
 036100 ,STAR_SOLID,0,0,0
 036060 ,5                ,1
 036160 ,5                ,0 
 036260 ,4                ,1
 036360 ,4                ,0
 036460 ,3                ,1 
 036560 ,3                ,0
 036660 ,2                ,1
 036760 ,2                ,0
 036860 ,1                ,1
 036960 ,1                ,0
 037060 ,2                ,1
 037060 ,4                ,1
 037160 ,2                ,0
 037160 ,4                ,0
 037260 ,1                ,1 
 037260 ,3                ,1
 037260 ,5                ,1 
 037360 ,1                ,0 
 037360 ,3                ,0
 037360 ,5                ,0  
 037470 ,6      ,1
 037470 ,STAR_POINT2,255,0,0
 037470 ,1      ,1
 037520 ,1      ,0
 037570 ,2      ,1
 037620 ,2      ,0
 037670 ,3      ,1
 037720 ,3      ,0
 037770 ,4      ,1
 037820 ,4      ,0
 037870 ,6      ,0
 037870 ,7      ,1
 037870 ,STAR_POINT3,0,255,0
 037870 ,5      ,1
 037920 ,5      ,0
 037970 ,4      ,1
 038020 ,4      ,0
 038070 ,3      ,1
 038070 ,STAR_POINT2,0,0,0
 038120 ,3      ,0
 038170 ,2      ,1
 038220 ,2      ,0
 038270 ,7      ,0
 038270 ,6      ,1
 038270 ,STAR_POINT4,255,0,0
 038270 ,1      ,1
 038320 ,1      ,0
 038370 ,2      ,1
 038420 ,2      ,0
 038470 ,3      ,1
 038470 ,STAR_POINT3,0,0,0
 038520 ,3      ,0
 038470 ,4      ,1
 038520 ,4      ,0
 038670 ,6      ,0
 038670 ,7      ,1
 038670 ,STAR_POINT5,0,255,0
 038670 ,5      ,1
 038720 ,5      ,0
 038770 ,4      ,1
 038820 ,4      ,0
 038870 ,3      ,1
 038870 ,STAR_POINT4,0,0,0
 038920 ,3      ,0
 038970 ,2      ,1
 039020 ,2      ,0
 039070 ,7      ,0
 039070 ,8      ,1
 039070 ,STAR_POINT1,0,0,255
 039070 ,1      ,1
 039120 ,1      ,0
 039170 ,2      ,1
 039220 ,2      ,0
 039270 ,3      ,1
 039270 ,STAR_POINT5,0,0,0
 039320 ,3      ,0
 039370 ,4      ,1
 039420 ,4      ,0
 039470 ,8      ,0
 039470 ,7      ,1
 039470 ,STAR_POINT2,0,255,0
 039470 ,5      ,1
 039520 ,5      ,0
 039570 ,4      ,1
 039620 ,4      ,0
 039670 ,3      ,1
 039670 ,STAR_POINT1,0,0,0
 039720 ,3      ,0
 039770 ,2      ,1
 039820 ,2      ,0
 039870 ,7      ,0
 039870 ,8      ,1
 039870 ,STAR_POINT3,0,0,255
 039870 ,1      ,1
 039920 ,1      ,0
 039970 ,2      ,1
 040020 ,2      ,0
 040070 ,3      ,1
 040070 ,STAR_POINT2,0,0,0
 040120 ,3      ,0
 040170 ,4      ,1
 040220 ,4      ,0
 040270 ,8      ,0
 040270 ,6      ,1
 040270 ,STAR_POINT4,255,0,0
 040270 ,5      ,1
 040320 ,5      ,0
 040370 ,4      ,1
 040420 ,4      ,0
 040470 ,3      ,1
 040470 ,STAR_POINT3,0,0,0
 040520 ,3      ,0
 040570 ,2      ,1
 040620 ,2      ,0
 040670 ,6      ,0
 040700 ,7      ,1
 040700 ,STAR_POINT5,0,255,0
 040700 ,1      ,1
 040750 ,1      ,0
 040800 ,2      ,1
 040850 ,2      ,0
 040900 ,3      ,1
 040900 ,STAR_POINT4,0,0,0
 040950 ,3      ,0
 041000 ,4      ,1
 041050 ,4      ,0
 041100 ,7      ,0
 041100 ,6      ,1
 041100 ,STAR_POINT1,255,0,0
 041100 ,5      ,1
 041150 ,5      ,0
 041200 ,4      ,1
 041250 ,4      ,0
 041300 ,3      ,1
 041300 ,STAR_POINT5,0,0,0
 041350 ,3      ,0
 041400 ,2      ,1
 041450 ,2      ,0
 041500 ,6      ,0
 041500 ,8      ,1
 041500 ,STAR_POINT2,0,0,255
 041500 ,1      ,1
 041550 ,1      ,0
 041600 ,2      ,1
 041650 ,2      ,0
 041700 ,3      ,1
 041700 ,STAR_POINT1,0,0,0
 041750 ,3      ,0
 041800 ,4      ,1
 041850 ,4      ,0
 041900 ,8      ,0
 041900 ,7      ,1
 041900 ,STAR_POINT3,0,255,0
 041900 ,5      ,1
 041950 ,5      ,0
 042000 ,4      ,1
 042050 ,4      ,0
 042100 ,3      ,1
 042100 ,STAR_POINT2,0,0,0
 042150 ,3      ,0
 042200 ,7      ,0
 042300 ,6      ,1
 042300 ,7      ,1
 042300 ,8      ,1
 042300 ,STAR_POINT4,0,0,255
 042550 ,6      ,0
 042550 ,7      ,0
 042550 ,8      ,0
 042550 ,STAR_SOLID,0,0,0
 042940 ,5      ,1
 043040 ,5      ,0
 043130 ,4      ,1
 043230 ,4      ,0
 043330 ,3      ,1
 043430 ,3      ,0
 043530 ,2      ,1
 043630 ,2      ,0
 043730 ,1      ,1
 043830 ,1      ,0
 043930 ,1      ,1
 043930 ,2      ,1
 043930 ,3      ,1
 043930 ,4      ,1
 043930 ,5      ,1
 043930 ,6      ,1
 043930 ,7      ,1
 043930 ,8      ,1
 043930 ,STAR_SOLID,204,0,204
 044180 ,1      ,0
 044180 ,2      ,0
 044180 ,3      ,0
 044180 ,4      ,0
 044180 ,5      ,0
 044180 ,6      ,0
 044180 ,7      ,0
 044180 ,8      ,0
 044180 ,STAR_SOLID,0,0,0
 044540 ,5      ,1
 044640 ,5      ,0
 044740 ,4      ,1
 044840 ,4      ,0
 044940 ,3      ,1
 045040 ,3      ,0
 045140 ,2      ,1
 045240 ,2      ,0
 045340 ,1      ,1
 045440 ,1      ,0
 045540 ,1      ,1
 045540 ,2      ,1
 045540 ,3      ,1
 045540 ,4      ,1
 045540 ,5      ,1
 045540 ,6      ,1
 045540 ,7      ,1
 045540 ,8      ,1
 045540 ,STAR_SOLID,204,0,204
 045780 ,1      ,0
 045780 ,2      ,0
 045780 ,3      ,0
 045780 ,4      ,0
 045780 ,5      ,0
 045780 ,6      ,0
 045780 ,7      ,0
 045780 ,8      ,0 
 045780 ,STAR_SOLID,0,0,0
 046150 ,1      ,1
 046150 ,2      ,1
 046150 ,3      ,1
 046150 ,4      ,1
 046150 ,5      ,1
 046150 ,6      ,1
 046150 ,7      ,1
 046150 ,8      ,1
 046150 ,STAR_SOLID,204,0,204
 046300 ,1      ,0
 046300 ,2      ,0
 046300 ,3      ,0
 046300 ,4      ,0
 046300 ,5      ,0
 046300 ,6      ,0
 046300 ,7      ,0
 046300 ,8      ,0 
 046300 ,STAR_SOLID,0,0,0
 046370 ,1      ,1
 046370 ,2      ,1
 046370 ,3      ,1
 046370 ,4      ,1
 046370 ,5      ,1
 046370 ,6      ,1
 046370 ,7      ,1
 046370 ,8      ,1
 046370 ,STAR_SOLID,204,0,204
 046520 ,1      ,0
 046520 ,2      ,0
 046520 ,3      ,0
 046520 ,4      ,0
 046520 ,5      ,0
 046520 ,6      ,0
 046520 ,7      ,0
 046520 ,8      ,0
 046520 ,STAR_SOLID,0,0,0
 046970 ,1      ,1
 046970 ,2      ,1
 046970 ,3      ,1
 046970 ,4      ,1
 046970 ,5      ,1
 046970 ,6      ,1
 046970 ,7      ,1
 046970 ,8      ,1
 046970 ,STAR_SOLID,204,0,204
 047120 ,1      ,0
 047120 ,2      ,0
 047120 ,3      ,0
 047120 ,4      ,0
 047120 ,5      ,0
 047120 ,6      ,0
 047120 ,7      ,0
 047120 ,8      ,0
 047120 ,STAR_SOLID,0,0,0
 047190 ,1      ,1
 047190 ,2      ,1
 047190 ,3      ,1
 047190 ,4      ,1
 047190 ,5      ,1
 047190 ,6      ,1
 047190 ,7      ,1
 047190 ,8      ,1
 047190 ,STAR_SOLID,204,0,204
 047340 ,1      ,0
 047340 ,2      ,0
 047340 ,3      ,0
 047340 ,4      ,0
 047340 ,5      ,0
 047340 ,6      ,0
 047340 ,7      ,0
 047340 ,8      ,0
 047340 ,STAR_SOLID,0,0,0
 047590 ,1      ,1
 047590 ,3      ,1
 047590 ,5      ,1 
 047690 ,1      ,0
 047690 ,3      ,0
 047690 ,5      ,0
 047990 ,2      ,1
 047990 ,4      ,1
 048090 ,2      ,0
 048090 ,4      ,0
 048390 ,1      ,1
 048490 ,1      ,0 
 048800 ,2      ,1
 048900 ,2      ,0
 049200 ,3      ,1
 049300 ,3      ,0
 049600 ,4      ,1
 049700 ,4      ,0
 050000 ,5      ,1
 050100 ,5      ,0
 050420 ,8      ,1
 050520 ,8      ,0
 050620 ,8      ,1
 050720 ,8      ,0
 050820 ,8      ,1
 050920 ,8      ,0
 051020 ,8      ,1
 051120 ,8      ,0
 051220 ,8      ,1
 051320 ,8      ,0
 051420 ,8      ,1
 051520 ,8      ,0
 051620 ,8      ,1
 051720 ,8      ,0
 051820 ,8      ,1
 051920 ,8      ,0
 052020 ,8      ,1
 052120 ,8      ,0
 052220 ,8      ,1
 052320 ,8      ,0
 052420 ,8      ,1
 052520 ,8      ,0
 052620 ,8      ,1
 052720 ,8      ,0
 052820 ,8      ,1
 052920 ,8      ,0
 053020 ,8      ,1
 053120 ,8      ,0
 053220 ,8      ,1
 053320 ,8      ,0
 053420 ,8      ,1
 053520 ,8      ,0
 053620 ,8      ,1
 053720 ,8      ,0
 053820 ,8      ,1
 053920 ,8      ,0
 054020 ,8      ,1
 054120 ,8      ,0
 054220 ,8      ,1
 054320 ,8      ,0
 054420 ,8      ,1
 054520 ,8      ,0
 054620 ,8      ,1
 054720 ,8      ,0
 054820 ,8      ,1
 054920 ,8      ,0
 055020 ,8      ,1
 055120 ,8      ,0
 055220 ,8      ,1
 055320 ,8      ,0
 055420 ,8      ,1
 055520 ,8      ,0
 055520 ,STAR_SOLID,0,0,5
 055620 ,8      ,1
 055720 ,8      ,0
 055820 ,8      ,1
 055920 ,8      ,0
 056020 ,8      ,1
 056120 ,8      ,0
 056220 ,8      ,1
 056320 ,8      ,0
 056420 ,8      ,1
 056520 ,8      ,0
 056520 ,STAR_SOLID,0,0,10
 056620 ,8      ,1
 056720 ,8      ,0
 056820 ,8      ,1
 056920 ,8      ,0
 057020 ,8      ,1
 057120 ,8      ,0
 057220 ,8      ,1
 057266 ,1      ,1
 057320 ,8      ,0
 057420 ,8      ,1
 057490 ,1      ,0
 057490 ,2      ,1 
 057520 ,8      ,0
 057520 ,STAR_SOLID,0,0,20
 057620 ,8      ,1
 057700 ,2      ,0
 057700 ,1      ,1 
 057720 ,8      ,0
 057820 ,8      ,1
 057920 ,8      ,0
 057950 ,1      ,0 
 058020 ,8      ,1
 058090 ,3      ,1 
 058120 ,8      ,0
 058220 ,8      ,1
 058320 ,8      ,0
 058420 ,8      ,1
 058520 ,8      ,0
 058520 ,STAR_SOLID,0,0,30
 058620 ,8      ,1
 058665 ,3      ,0  
 058720 ,8      ,0
 058820 ,8      ,1
 058892 ,2      ,1 
 058920 ,8      ,0
 059020 ,8      ,1
 059095 ,2      ,0
 059095 ,3      ,1 
 059120 ,8      ,0
 059220 ,8      ,1
 059312 ,3      ,0
 059312 ,2      ,1 
 059320 ,8      ,0
 059420 ,8      ,1
 059520 ,8      ,0
 059520 ,STAR_SOLID,0,0,40
 059524 ,2      ,0 
 059620 ,8      ,1
 059719 ,4      ,1 
 059720 ,8      ,0
 059820 ,8      ,1
 059920 ,8      ,0
 060020 ,8      ,1
 060120 ,8      ,0
 060220 ,8      ,1
 060294 ,4      ,0  
 060320 ,8      ,0
 060420 ,8      ,1
 060520 ,8      ,0
 060520 ,STAR_SOLID,0,0,50
 060526 ,3      ,1 
 060620 ,8      ,1
 060720 ,8      ,0
 060729 ,3      ,0
 060729 ,4      ,1 
 060820 ,8      ,1
 060920 ,8      ,0
 060938 ,4      ,0
 060938 ,3      ,1 
 061020 ,8      ,1
 061120 ,8      ,0
 061220 ,8      ,1
 061315 ,3      ,0
 061320 ,8      ,0
 061324 ,5      ,1 
 061420 ,8      ,1
 061520 ,8      ,0
 061520 ,STAR_SOLID,0,0,60
 061620 ,8      ,1
 061720 ,8      ,0
 061730 ,5      ,0  
 061730 ,4      ,1 
 061820 ,8      ,1
 061920 ,8      ,0
 062020 ,8      ,1
 062120 ,8      ,0
 062125 ,4      ,0
 062145 ,5      ,1 
 062220 ,8      ,1
 062320 ,8      ,0
